,,ADF Statistic,P - Value,Lag
Close_Ret_MA_3,MNT,-7.97075205804,2.78554814825e-12,27
Close_Ret_MA_3,MYR,-7.73624657204,1.09172973019e-11,27
Close_Ret_MA_3,NZD,-9.90218588441,3.33517519753e-17,27
Close_Ret_MA_3,PHP,-9.14555251892,2.77428302992e-15,27
Close_Ret_MA_3,PKR,-7.57871005358,2.71783559505e-11,27
Close_Ret_MA_3,SGD,-8.99325575487,6.80143915477e-15,27
Close_Ret_MA_3,THB,-7.85757267304,5.39125371374e-12,27
Close_Ret_MA_3,TWD,-7.97539088937,2.71106048013e-12,28
Close_Ret_MA_3,VND,-8.99627517667,6.68151218518e-15,28
Close_Ret_MA_15,AUD,-8.61652619783,6.2687640159e-14,21
Close_Ret_MA_15,BDT,-8.593995839,7.15916309179e-14,27
Close_Ret_MA_15,CNY,-7.2883558768,1.43888526671e-10,21
Close_Ret_MA_15,HKD,-10.0062145541,1.82859052195e-17,25
Close_Ret_MA_15,IDR,,,
Close_Ret_MA_15,INR,-9.60532577746,1.87288599493e-16,27
Close_Ret_MA_15,JPY,-7.97608073792,2.70015403926e-12,25
Close_Ret_MA_15,KRW,-9.2653982194,1.37132686363e-15,23
Close_Ret_MA_15,LKR,-7.95263377612,3.09652719017e-12,28
Close_Ret_MA_15,MNT,-7.78730285835,8.11521693691e-12,25
Close_Ret_MA_15,MYR,-8.20902633692,6.89855033656e-13,27
Close_Ret_MA_15,NZD,-9.30845679406,1.06493122865e-15,21
Close_Ret_MA_15,PHP,-10.1160152124,9.7201086738e-18,26
Close_Ret_MA_15,PKR,-8.30454219371,3.93591827112e-13,26
Close_Ret_MA_15,SGD,-8.0611477397,1.64171521075e-12,19
Close_Ret_MA_15,THB,-7.86777262669,5.08018561424e-12,23
Close_Ret_MA_15,TWD,-8.19964816405,7.28898566457e-13,28
Close_Ret_MA_15,VND,-9.29138592542,1.1772035526e-15,27
Close_Ret_MA_45,AUD,-6.39827675061,2.02517539991e-08,23
Close_Ret_MA_45,BDT,-6.29391116357,3.54406388194e-08,22
Close_Ret_MA_45,CNY,-5.99161201653,1.74024388067e-07,26
Close_Ret_MA_45,HKD,-7.98365554946,2.58323344895e-12,22
Close_Ret_MA_45,IDR,,,
Close_Ret_MA_45,INR,-6.5867164202,7.28372690076e-09,15
Close_Ret_MA_45,JPY,-5.45659258784,2.57350506416e-06,0
Close_Ret_MA_45,KRW,-7.06591872628,5.08122209438e-10,27
Close_Ret_MA_45,LKR,-5.89039087889,2.93382433013e-07,28
Close_Ret_MA_45,MNT,-5.60631420523,1.23193873554e-06,27
Close_Ret_MA_45,MYR,-6.291626928,3.58753793738e-08,28
Close_Ret_MA_45,NZD,-6.11217661548,9.27608959989e-08,14
Close_Ret_MA_45,PHP,-6.409315531,1.90823116658e-08,24
Close_Ret_MA_45,PKR,-6.43582713081,1.65384872782e-08,26
Close_Ret_MA_45,SGD,-5.9096831594,2.65698497714e-07,7
Close_Ret_MA_45,THB,-6.91558795933,1.18179160091e-09,24
Close_Ret_MA_45,TWD,-5.85491118352,3.5185448736e-07,23
Close_Ret_MA_45,VND,-6.66943069565,4.62797878558e-09,11
Time features,Weekday,-3.08287588041e+14,0.0,3
Time features,Year,-0.521729053228,0.887706014884,0
Time features,Month,-5.04848662266,1.77780038979e-05,0
Time features,Day,-11.6117750871,2.50311320166e-21,28
Open_MTD,AUD,-8.11004644344,1.23283508639e-12,22
Open_MTD,BDT,-8.22701893307,6.20692120645e-13,22
Open_MTD,CNY,-7.14983099492,3.16228154496e-10,28
Open_MTD,HKD,-9.84299918344,4.6990807508e-17,10
Open_MTD,IDR,,,
Open_MTD,INR,-11.4094928625,7.30958939622e-21,7
Open_MTD,JPY,-11.0469048734,5.19561897559e-20,12
Open_MTD,KRW,-11.3097790651,1.24727548484e-20,8
Open_MTD,LKR,-7.51433208311,3.93959236367e-11,25
Open_MTD,MNT,-10.7826305007,2.23500477888e-19,4
Open_MTD,MYR,-11.0928496609,4.04145931763e-20,3
Open_MTD,NZD,-9.01664192007,5.92604600513e-15,22
Open_MTD,PHP,-11.4446298224,6.06074464264e-21,12
Open_MTD,PKR,-7.26383990977,1.65469538346e-10,28
Open_MTD,SGD,-8.79632159851,2.17154500793e-14,24
Open_MTD,THB,-10.9255005207,1.01265492499e-19,7
Open_MTD,TWD,-10.5967030771,6.32248746437e-19,8
Open_MTD,VND,-10.2683083497,4.06388652759e-18,12
High_MTD,AUD,-8.32146152738,3.56320869418e-13,22
