,,,ADF Statistic,P - Value,Lag
Close_Ret,LKR,CSE All-Share,-8.20231424014,7.17580163283e-13,28
Close_Ret,MNT,MNE Top 20,,,
Close_Ret,MYR,KLCI,,,
Close_Ret,NZD,NZX 50,,,
Close_Ret,NZD,NZX MidCap,,,
Close_Ret,PHP,PSEi Composite,,,
Close_Ret,PKR,Karachi 100,-14.0236257203,3.53514242488e-26,12
Close_Ret,SGD,STI Index,,,
Close_Ret,THB,SET,-18.5836245367,2.07675170456e-30,7
Close_Ret,TWD,TPEx 50,,,
Close_Ret,TWD,Taiwan Weighted,,,
Close_Ret,USD,Dow 30,-25.0280080722,0.0,4
Close_Ret,USD,Nasdaq,-24.7097628963,0.0,4
Close_Ret,USD,Nasdaq 100,-24.5997262139,0.0,4
Close_Ret,USD,S&P 500,-25.2551737008,0.0,4
Close_Ret,VND,HNX 30,,,
Close_Ret,VND,VN 30,-15.630581147,1.6873875365e-28,11
Volume_Ret,AUD,S&P/ASX 200,,,
Volume_Ret,BDT,DSE 30,,,
Volume_Ret,CNY,SZSE Component,,,
Volume_Ret,CNY,Shanghai,-22.8013004141,0.0,7
Volume_Ret,HKD,Hang Seng,,,
Volume_Ret,IDR,IDX Composite,,,
Volume_Ret,INR,BSE Sensex,,,
Volume_Ret,INR,Nifty 50,-52.0724674202,0.0,0
Volume_Ret,JPY,Nikkei 225,,,
Volume_Ret,KRW,KOSPI,-51.0654636751,0.0,0
Volume_Ret,KRW,KOSPI 50,,,
Volume_Ret,LKR,CSE All-Share,,,
Volume_Ret,MNT,MNE Top 20,,,
Volume_Ret,MYR,KLCI,,,
Volume_Ret,NZD,NZX 50,-10.1820137913,6.65667370948e-18,22
Volume_Ret,NZD,NZX MidCap,,,
Volume_Ret,PHP,PSEi Composite,,,
Volume_Ret,PKR,Karachi 100,,,
Volume_Ret,SGD,STI Index,,,
Volume_Ret,THB,SET,-20.8223651403,0.0,8
Volume_Ret,TWD,TPEx 50,,,
Volume_Ret,TWD,Taiwan Weighted,,,
Volume_Ret,USD,Dow 30,,,
Volume_Ret,USD,Nasdaq,-56.5193202032,0.0,0
Volume_Ret,USD,Nasdaq 100,-12.8303011134,5.89309412984e-24,19
Volume_Ret,USD,S&P 500,,,
Volume_Ret,VND,HNX 30,,,
Volume_Ret,VND,VN 30,,,
Time features,Weekday,Weekday,-3.08867240736e+14,0.0,3
Time features,Year,Year,-0.521729053228,0.887706014884,0
Time features,Month,Month,-5.04848662266,1.77780038979e-05,0
Time features,Day,Day,-11.6117750871,2.50311320166e-21,28
Open_MTD,AUD,S&P/ASX 200,-10.5140658475,1.00700800039e-18,7
Open_MTD,BDT,DSE 30,,,
Open_MTD,CNY,SZSE Component,,,
Open_MTD,CNY,Shanghai,-8.83654501024,1.71302998715e-14,20
Open_MTD,HKD,Hang Seng,-10.7632877773,2.48912270759e-19,8
Open_MTD,IDR,IDX Composite,-11.1016116419,3.85273789001e-20,9
Open_MTD,INR,BSE Sensex,,,
Open_MTD,INR,Nifty 50,-10.8535880644,1.507152765e-19,3
Open_MTD,JPY,Nikkei 225,-11.0733105182,4.49671516062e-20,3
Open_MTD,KRW,KOSPI,-11.0000666532,6.71723769483e-20,14
Open_MTD,KRW,KOSPI 50,,,
Open_MTD,LKR,CSE All-Share,-8.87712103816,1.34855377171e-14,22
Open_MTD,MNT,MNE Top 20,,,
Open_MTD,MYR,KLCI,,,
Open_MTD,NZD,NZX 50,-11.1394364974,3.13509365353e-20,1
Open_MTD,NZD,NZX MidCap,-10.8095357003,1.92447057432e-19,1
Open_MTD,PHP,PSEi Composite,,,
Open_MTD,PKR,Karachi 100,-10.5440454807,8.50354920176e-19,7
Open_MTD,SGD,STI Index,,,
Open_MTD,THB,SET,-11.2712335036,1.53505222895e-20,4
Open_MTD,TWD,TPEx 50,,,
Open_MTD,TWD,Taiwan Weighted,,,
Open_MTD,USD,Dow 30,-11.1449236235,3.04286771166e-20,13
Open_MTD,USD,Nasdaq,-10.8071076699,1.95060822753e-19,3
Open_MTD,USD,Nasdaq 100,-10.9715955209,7.8552745663e-20,3
Open_MTD,USD,S&P 500,-10.8475363608,1.55856178076e-19,13
Open_MTD,VND,HNX 30,,,
Open_MTD,VND,VN 30,-12.3941998846,4.71516019767e-23,3
High_MTD,AUD,S&P/ASX 200,-10.9574704531,8.49039186602e-20,2
High_MTD,BDT,DSE 30,,,
High_MTD,CNY,SZSE Component,,,
High_MTD,CNY,Shanghai,-8.5836711719,7.60838730199e-14,19
High_MTD,HKD,Hang Seng,-10.8084107079,1.93653678871e-19,4
High_MTD,IDR,IDX Composite,-11.2301672358,1.91624716547e-20,7
High_MTD,INR,BSE Sensex,,,
High_MTD,INR,Nifty 50,-10.9891887252,7.13092473877e-20,3
High_MTD,JPY,Nikkei 225,-11.02494829,5.85988731443e-20,3
High_MTD,KRW,KOSPI,-10.7895835352,2.15020362123e-19,12
High_MTD,KRW,KOSPI 50,,,
High_MTD,LKR,CSE All-Share,-8.70322339362,3.75998194173e-14,22
High_MTD,MNT,MNE Top 20,,,
High_MTD,MYR,KLCI,,,
High_MTD,NZD,NZX 50,-10.8900293001,1.23183245514e-19,2
High_MTD,NZD,NZX MidCap,-10.7194464375,3.17860298037e-19,2
High_MTD,PHP,PSEi Composite,,,
High_MTD,PKR,Karachi 100,-10.471109707,1.28362922505e-18,6
High_MTD,SGD,STI Index,,,
High_MTD,THB,SET,-8.2165601534,6.60006211304e-13,22
High_MTD,TWD,TPEx 50,,,
High_MTD,TWD,Taiwan Weighted,,,
High_MTD,USD,Dow 30,-11.3205454402,1.17712781347e-20,13
High_MTD,USD,Nasdaq,-10.8862873428,1.25758875149e-19,4
High_MTD,USD,Nasdaq 100,-11.0472347634,5.18624212399e-20,4
High_MTD,USD,S&P 500,-8.53975952834,9.85568372358e-14,24
High_MTD,VND,HNX 30,,,
