,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret_MA_3,Sentiment,Close,Close_Ret,Sentiment,Close,Close_Ret,Sentiment
Currency,LKR,LKR,,PKR,PKR,,BDT,BDT,,MNT,MNT,
Idx,CSE All-Share,CSE All-Share,,Karachi 100,Karachi 100,,,,,,,
02-07-2013,6140.79,0.001602668,1,21644.17,0.009904178,1,77.99,-0.000128205,1,1430.5,-0.001396161,0
03-07-2013,6117.97,-0.000162385,1,21802.86,0.012501163,1,77.77,-0.002820874,0,1452.5,0.015379238,1
04-07-2013,6073.17,-0.00324261,0,21966.96,0.009337418,1,78,0.002957439,1,1450.5,-0.001376936,1
05-07-2013,6048.18,-0.005051215,0,22178.34,0.008160312,1,77.98,-0.00025641,0,1447.5,-0.002068252,1
08-07-2013,5995.64,-0.00670814,0,22365.72,0.008532651,1,77.99,0.000128238,1,1454.5,0.004835924,1
09-07-2013,5980.16,-0.005127869,0,22721.22,0.011322093,1,77.97,-0.000256443,0,1452.5,-0.001375043,1
10-07-2013,6016.05,-0.001755758,0,22984.94,0.011983472,1,77.95,-0.000256509,0,1450.5,-0.001376936,1
11-07-2013,6062.38,0.003706901,0,22747.13,0.005718431,1,77.95,0,0,1449.5,-0.000689417,0
12-07-2013,6028.74,0.002717867,1,23037.32,0.004672548,1,77.97,0.000256575,1,1447.5,-0.001379786,0
15-07-2013,6015.2,-3.13E-05,1,23172.35,0.002757411,1,77.95,-0.000256509,1,1446.5,-0.000690846,0
16-07-2013,6007.65,-0.003016679,0,23160.89,0.006041339,1,77.93,-0.000256575,0,1444.5,-0.001382648,0
17-07-2013,5982.35,-0.002570787,0,22994.72,-0.000602597,1,77.92,-0.00012832,0,1442.5,-0.001384562,0
18-07-2013,5985.45,-0.00164942,0,23114.97,-0.000813229,1,77.9,-0.000256674,0,1469.5,0.018717504,1
19-07-2013,6041.06,0.001865919,0,23428.93,0.003879135,1,77.98,0.001026958,1,1467.5,-0.001361007,1
22-07-2013,6073.445,0.005056623,1,23657.81,0.00952704,1,77.76,-0.002821236,0,1484.5,0.011584327,1
23-07-2013,6084.24,0.005476363,1,23683.27,0.008142612,1,77.95,0.002443416,1,1474.5,-0.006736275,1
24-07-2013,6079.14,0.002099998,1,23776.22,0.004923336,1,77.97,0.000256575,0,1470.5,-0.002712784,1
25-07-2013,6038.16,-0.001933969,1,23573.68,-0.001172569,1,77.95,-0.000256509,1,1489.5,0.012920775,1
26-07-2013,6051.77,-0.001775106,0,23497.07,-0.002614565,1,77.9,-0.000641437,0,1487.5,-0.001342732,1
29-07-2013,6056.92,-0.001212032,0,23315.15,-0.006503549,0,77.97,0.000898588,1,1487.5,0,1
30-07-2013,6055.48,0.000955748,0,23284.81,-0.004097784,0,77.95,-0.000256509,1,1485.5,-0.001344538,0
31-07-2013,6037.22,-0.000800735,0,23312.77,-0.002614253,0,77.92,-0.000384862,1,1490.5,0.00336587,1
01-08-2013,6156.6,0.005506936,1,23091.86,-0.003192146,0,77.9,-0.000256674,0,1489.5,-0.000670916,1
02-08-2013,6155.82,0.005543953,1,22994.22,-0.004167823,0,77.97,0.000898588,1,1500.5,0.007385029,1
05-08-2013,6114.18,0.004294326,1,22701.3,-0.008814369,0,77.95,-0.000256509,1,1525.5,0.016661113,1
06-08-2013,6121.45,-0.001900661,1,22621.93,-0.006821153,0,77.97,0.000256575,1,1522.5,-0.001966568,1
07-08-2013,6151.79,-0.000206316,1,23237.19,0.003654125,0,77.95,-0.000256509,0,1557.5,0.022988506,1
08-08-2013,6151.92,0.002055504,0,23277.35,0.008476497,1,77.93,-0.000256575,0,1557.5,0,1
09-08-2013,6146.5,0.001365483,1,23317.51,0.010217016,1,77.97,0.000513281,1,1554.5,-0.001926164,1
12-08-2013,6130.24,-0.001168434,1,23437.99,0.002873493,1,77.95,-0.000256509,1,1567.5,0.008362818,1
13-08-2013,6142.87,-0.000488718,0,23613.2,0.004789228,1,77.97,0.000256575,1,1565.5,-0.001275917,1
14-08-2013,6208.67,0.003375492,1,23650.545,0.004741311,1,77.95,-0.000256509,0,1562.5,-0.001916321,1
15-08-2013,6220.1,0.004870953,1,23687.89,0.003545345,1,77.95,0,1,1559.5,-0.00192,0
16-08-2013,6233.21,0.004886754,1,23673.3,0.000848213,1,77.93,-0.000256575,0,1564.5,0.003206156,0
19-08-2013,6224.34,0.000841878,1,23600.23,-0.000707831,1,77.15,-0.010008982,0,1560.5,-0.002556727,0
20-08-2013,6170.505,-0.002654816,1,23487.23,-0.002830205,0,76.98,-0.0022035,0,1557.5,-0.001922461,0
21-08-2013,6116.67,-0.006265567,0,23015.27,-0.009323004,0,76.85,-0.00168875,0,1557.5,0,0
22-08-2013,6085.88,-0.007469155,0,22714.32,-0.012652838,0,76.85,0,0,1557.5,0,0
23-08-2013,5951.83,-0.01192825,0,22714.68,-0.011051525,0,77.15,0.003903709,1,1582.5,0.016051364,1
26-08-2013,5895.65,-0.012166431,0,22922.24,-0.001307516,0,77.47,0.004147764,1,1589.5,0.004423381,1
27-08-2013,5923.34,-0.008922942,0,22523.71,-0.002744207,0,77.47,0,1,1599.5,0.006291287,1
28-08-2013,5753.2,-0.011155363,0,22236.33,-0.007002489,0,77.47,0,1,1597.5,-0.001250391,1
29-08-2013,5825.06,-0.003845512,0,22214.73,-0.010372185,0,77.47,0,0,1614.5,0.010641628,1
30-08-2013,5834.04,-0.004897201,0,22160.85,-0.005385267,0,77.97,0.006454111,1,1613.5,-0.000619387,1
02-09-2013,5782.72,0.001745135,0,21724.68,-0.007692936,0,77.47,-0.006412723,1,1620.5,0.004338395,1
03-09-2013,5752.36,-0.004168386,0,21808.48,-0.006083353,0,77.47,0,1,1650.5,0.018512805,1
04-09-2013,5744.89,-0.005115124,0,21875.83,-0.004245465,0,77.47,0,0,1647.5,-0.001817631,1
05-09-2013,5686.99,-0.005542415,0,22451.46,0.011086376,1,77.1,-0.004776042,0,1647.5,0,1
06-09-2013,5672.64,-0.004633474,0,22765.87,0.014468584,1,77.1,0,0,1689.5,0.025493171,1
09-09-2013,5605.26,-0.008159964,0,22838.84,0.014507581,1,77.47,0.004798962,1,1687.5,-0.001183782,1
10-09-2013,5667.33,-0.001109281,0,22992.17,0.007974263,1,77.47,0,1,1684.5,-0.001777778,1
11-09-2013,5730.21,0.003430211,0,23231.68,0.006778608,1,77.47,0,1,1705.5,0.012466607,1
12-09-2013,5744.5,0.008220833,1,23222.21,0.005574318,1,77.47,0,0,1704.5,-0.000586338,1
13-09-2013,5749.46,0.004817469,1,23168.04,0.002558904,1,77.47,0,0,1702.5,-0.001173365,1
16-09-2013,5730.12,-2.19E-06,1,23242.68,0.000160455,1,77.47,0,0,1670.5,-0.018795888,0
17-09-2013,5705.26,-0.002279613,1,23066.5,-0.002230341,1,77.47,0,0,1667.5,-0.00179587,0
18-09-2013,5700.74,-0.002831508,0,22930.06,-0.003424471,0,77.47,0,0,1667.5,0,0
19-09-2013,5757.42,0.001603946,0,23456.98,0.00316145,0,77.47,0,0,1619.75,-0.028635682,0
20-09-2013,5814.1,0.006331668,1,23595.61,0.007658113,1,77.47,0,0,1620.25,0.00030869,0
23-09-2013,5782.85,0.004804131,1,23639.97,0.010256474,1,77.47,0,0,1620,-0.000154297,0
24-09-2013,5794.47,0.002159738,1,23088.49,-0.005179436,1,77.47,0,0,1625,0.00308642,1
25-09-2013,5783.62,-0.001745983,1,23060.9,-0.007547748,0,77.97,0.006454111,1,1642.5,0.010769231,1
26-09-2013,5786.16,0.000192029,1,22780.82,-0.012222829,0,77.47,-0.006412723,1,1640,-0.00152207,1
27-09-2013,5808.62,0.000816124,0,22387.31,-0.010204647,0,77.47,0,1,1650,0.006097561,1
30-09-2013,5803.32,0.001136137,1,21832.68,-0.018064426,0,77.97,0.006454111,1,1664.5,0.008787879,1
01-10-2013,5780.83,-0.000302043,1,21980.42,-0.011760375,0,77.97,0,1,1649,-0.009312106,1
02-10-2013,5805.62,-0.000166498,1,22189.67,-0.002829182,0,77.49,-0.006156214,1,1657,0.004851425,1
03-10-2013,5814.8,0.000664723,1,22152.35,0.004868298,0,77.47,-0.000258098,0,1658,0.0006035,0
04-10-2013,5837.95,0.003283586,1,22085.96,0.001613666,1,77.47,0,0,1648.5,-0.005729795,0
07-10-2013,5867.1,0.003518546,1,21864.85,-0.004896725,1,77.47,0,0,1695.5,0.028510767,1
08-10-2013,5897.05,0.004693049,1,22080.47,-0.00104894,0,77.47,0,0,1676.5,-0.011206134,1
09-10-2013,5909.95,0.004095154,1,21657.22,-0.006439457,0,77.47,0,0,1707.5,0.018490904,1
10-10-2013,5957.37,0.005105343,1,21674.98,-0.002828994,0,77.97,0.006454111,1,1691.5,-0.009370425,0
11-10-2013,5947.42,0.00284703,1,21775.39,-0.004571981,0,77.97,0,1,1678,-0.007981082,1
14-10-2013,5952.62,0.002409295,1,21599.78,-0.000870676,0,77.97,0,1,1684,0.003575685,0
15-10-2013,5961.98,0.000258848,1,21621.94714,-0.000801937,0,77.97,0,0,1687,0.001781473,0
16-10-2013,5969.245,0.001221767,1,21644.11429,-0.002004376,0,77.97,0,0,1678,-0.005334914,1
